"","Mouse_HED_liver","Mouse_HED_kidney","Mouse_HED_brain","Mouse_HED_blood"
"2.5%",12.3753929839247,2.04714419929824,0.596996602086566,2.94762897481736
"50%",45.627932932218,11.4620129301275,2.18216353521291,10.6624854020626
"97.5%",115.744825646492,45.4428140430897,7.39202489515719,34.6028583897442
